"STATISTIC","Statistic Label","C02407V02905","Building Sector","C01989V02424","Type of Purchases","TLIST(A1)","Year","UNIT","VALUE"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23","All purchases of materials, fuel and energy","2005","2005","Euro Thousand","3641555"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23","All purchases of materials, fuel and energy","2006","2006","Euro Thousand","4371160"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23","All purchases of materials, fuel and energy","2007","2007","Euro Thousand","4009412"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","231","Materials","2005","2005","Euro Thousand","3509030"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","231","Materials","2006","2006","Euro Thousand","4212084"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","231","Materials","2007","2007","Euro Thousand","3816647"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","232","All fuel","2005","2005","Euro Thousand","106549"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","232","All fuel","2006","2006","Euro Thousand","127897"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","232","All fuel","2007","2007","Euro Thousand","159438"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","2321","All motor fuel","2005","2005","Euro Thousand","89527"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","2321","All motor fuel","2006","2006","Euro Thousand","107465"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","2321","All motor fuel","2007","2007","Euro Thousand","126791"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23211","Motor fuel - petrol","2005","2005","Euro Thousand","10779"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23211","Motor fuel - petrol","2006","2006","Euro Thousand","12939"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23211","Motor fuel - petrol","2007","2007","Euro Thousand","17698"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23212","Motor fuel - auto diesel","2005","2005","Euro Thousand","69474"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23212","Motor fuel - auto diesel","2006","2006","Euro Thousand","83394"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23212","Motor fuel - auto diesel","2007","2007","Euro Thousand","91503"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23213","Motor fuel - LPG (for vehicles)","2005","2005","Euro Thousand","9273"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23213","Motor fuel - LPG (for vehicles)","2006","2006","Euro Thousand","11131"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23213","Motor fuel - LPG (for vehicles)","2007","2007","Euro Thousand","17590"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","2322","All fuel oil for stationary uses","2005","2005","Euro Thousand","17022"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","2322","All fuel oil for stationary uses","2006","2006","Euro Thousand","20432"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","2322","All fuel oil for stationary uses","2007","2007","Euro Thousand","32648"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23221","Fuel oil for stationary uses - gas, oil and diesel","2005","2005","Euro Thousand","13425"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23221","Fuel oil for stationary uses - gas, oil and diesel","2006","2006","Euro Thousand","16115"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23221","Fuel oil for stationary uses - gas, oil and diesel","2007","2007","Euro Thousand","22798"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23222","Fuel oil for stationary uses - kerosene","2005","2005","Euro Thousand","958"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23222","Fuel oil for stationary uses - kerosene","2006","2006","Euro Thousand","1150"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23222","Fuel oil for stationary uses - kerosene","2007","2007","Euro Thousand","1111"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23224","Fuel oil for stationary uses - other fuel oil","2005","2005","Euro Thousand","2639"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23224","Fuel oil for stationary uses - other fuel oil","2006","2006","Euro Thousand","3168"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","23224","Fuel oil for stationary uses - other fuel oil","2007","2007","Euro Thousand","8739"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","233","Electricity","2005","2005","Euro Thousand","25975"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","233","Electricity","2006","2006","Euro Thousand","31179"
"BAA07","Purchases in Building and Construction Industry (New Basis)","45","All construction (45)","233","Electricity","2007","2007","Euro Thousand","33327"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23","All purchases of materials, fuel and energy","2005","2005","Euro Thousand","54276"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23","All purchases of materials, fuel and energy","2006","2006","Euro Thousand","65149"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23","All purchases of materials, fuel and energy","2007","2007","Euro Thousand","65989"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","231","Materials","2005","2005","Euro Thousand","48760"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","231","Materials","2006","2006","Euro Thousand","58529"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","231","Materials","2007","2007","Euro Thousand","55815"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","232","All fuel","2005","2005","Euro Thousand","5247"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","232","All fuel","2006","2006","Euro Thousand","6297"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","232","All fuel","2007","2007","Euro Thousand","9888"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","2321","All motor fuel","2005","2005","Euro Thousand","4730"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","2321","All motor fuel","2006","2006","Euro Thousand","5678"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","2321","All motor fuel","2007","2007","Euro Thousand","9143"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23211","Motor fuel - petrol","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23211","Motor fuel - petrol","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23211","Motor fuel - petrol","2007","2007","Euro Thousand","512"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23212","Motor fuel - auto diesel","2005","2005","Euro Thousand","3598"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23212","Motor fuel - auto diesel","2006","2006","Euro Thousand","4319"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23212","Motor fuel - auto diesel","2007","2007","Euro Thousand","6960"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23213","Motor fuel - LPG (for vehicles)","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23213","Motor fuel - LPG (for vehicles)","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23213","Motor fuel - LPG (for vehicles)","2007","2007","Euro Thousand","1671"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","2322","All fuel oil for stationary uses","2005","2005","Euro Thousand","517"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","2322","All fuel oil for stationary uses","2006","2006","Euro Thousand","619"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","2322","All fuel oil for stationary uses","2007","2007","Euro Thousand","746"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23221","Fuel oil for stationary uses - gas, oil and diesel","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23221","Fuel oil for stationary uses - gas, oil and diesel","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23221","Fuel oil for stationary uses - gas, oil and diesel","2007","2007","Euro Thousand","727"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23222","Fuel oil for stationary uses - kerosene","2005","2005","Euro Thousand","47"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23222","Fuel oil for stationary uses - kerosene","2006","2006","Euro Thousand","56"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23222","Fuel oil for stationary uses - kerosene","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23224","Fuel oil for stationary uses - other fuel oil","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23224","Fuel oil for stationary uses - other fuel oil","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","23224","Fuel oil for stationary uses - other fuel oil","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","233","Electricity","2005","2005","Euro Thousand","269"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","233","Electricity","2006","2006","Euro Thousand","323"
"BAA07","Purchases in Building and Construction Industry (New Basis)","451","Site preparation (451)","233","Electricity","2007","2007","Euro Thousand","285"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23","All purchases of materials, fuel and energy","2005","2005","Euro Thousand","2855422"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23","All purchases of materials, fuel and energy","2006","2006","Euro Thousand","3427523"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23","All purchases of materials, fuel and energy","2007","2007","Euro Thousand","2840727"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","231","Materials","2005","2005","Euro Thousand","2752132"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","231","Materials","2006","2006","Euro Thousand","3303537"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","231","Materials","2007","2007","Euro Thousand","2701390"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","232","All fuel","2005","2005","Euro Thousand","79787"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","232","All fuel","2006","2006","Euro Thousand","95774"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","232","All fuel","2007","2007","Euro Thousand","109722"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","2321","All motor fuel","2005","2005","Euro Thousand","64870"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","2321","All motor fuel","2006","2006","Euro Thousand","77867"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","2321","All motor fuel","2007","2007","Euro Thousand","85058"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23211","Motor fuel - petrol","2005","2005","Euro Thousand","7336"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23211","Motor fuel - petrol","2006","2006","Euro Thousand","8806"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23211","Motor fuel - petrol","2007","2007","Euro Thousand","13399"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23212","Motor fuel - auto diesel","2005","2005","Euro Thousand","50546"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23212","Motor fuel - auto diesel","2006","2006","Euro Thousand","60673"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23212","Motor fuel - auto diesel","2007","2007","Euro Thousand","59673"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23213","Motor fuel - LPG (for vehicles)","2005","2005","Euro Thousand","6988"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23213","Motor fuel - LPG (for vehicles)","2006","2006","Euro Thousand","8388"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23213","Motor fuel - LPG (for vehicles)","2007","2007","Euro Thousand","11986"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","2322","All fuel oil for stationary uses","2005","2005","Euro Thousand","14917"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","2322","All fuel oil for stationary uses","2006","2006","Euro Thousand","17906"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","2322","All fuel oil for stationary uses","2007","2007","Euro Thousand","24664"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23221","Fuel oil for stationary uses - gas, oil and diesel","2005","2005","Euro Thousand","11667"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23221","Fuel oil for stationary uses - gas, oil and diesel","2006","2006","Euro Thousand","14004"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23221","Fuel oil for stationary uses - gas, oil and diesel","2007","2007","Euro Thousand","20121"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23222","Fuel oil for stationary uses - kerosene","2005","2005","Euro Thousand","756"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23222","Fuel oil for stationary uses - kerosene","2006","2006","Euro Thousand","907"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23222","Fuel oil for stationary uses - kerosene","2007","2007","Euro Thousand","879"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23224","Fuel oil for stationary uses - other fuel oil","2005","2005","Euro Thousand","2495"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23224","Fuel oil for stationary uses - other fuel oil","2006","2006","Euro Thousand","2995"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","23224","Fuel oil for stationary uses - other fuel oil","2007","2007","Euro Thousand","3664"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","233","Electricity","2005","2005","Euro Thousand","23503"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","233","Electricity","2006","2006","Euro Thousand","28212"
