"STATISTIC","Statistic Label","C02407V02905","Building Sector","C01989V02424","Type of Purchases","TLIST(A1)","Year","UNIT","VALUE"
"BAA07","Purchases in Building and Construction Industry (New Basis)","452","Building of complete constructions or part there of; civil engineering (452)","233","Electricity","2007","2007","Euro Thousand","29615"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23","All purchases of materials, fuel and energy","2005","2005","Euro Thousand","581577"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23","All purchases of materials, fuel and energy","2006","2006","Euro Thousand","698099"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23","All purchases of materials, fuel and energy","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","231","Materials","2005","2005","Euro Thousand","570384"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","231","Materials","2006","2006","Euro Thousand","684663"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","231","Materials","2007","2007","Euro Thousand","847270"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","232","All fuel","2005","2005","Euro Thousand","9670"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","232","All fuel","2006","2006","Euro Thousand","11608"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","232","All fuel","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","2321","All motor fuel","2005","2005","Euro Thousand","9370"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","2321","All motor fuel","2006","2006","Euro Thousand","11248"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","2321","All motor fuel","2007","2007","Euro Thousand","19728"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23211","Motor fuel - petrol","2005","2005","Euro Thousand","2653"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23211","Motor fuel - petrol","2006","2006","Euro Thousand","3184"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23211","Motor fuel - petrol","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23212","Motor fuel - auto diesel","2005","2005","Euro Thousand","6561"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23212","Motor fuel - auto diesel","2006","2006","Euro Thousand","7876"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23212","Motor fuel - auto diesel","2007","2007","Euro Thousand","10559"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23213","Motor fuel - LPG (for vehicles)","2005","2005","Euro Thousand","156"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23213","Motor fuel - LPG (for vehicles)","2006","2006","Euro Thousand","187"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23213","Motor fuel - LPG (for vehicles)","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","2322","All fuel oil for stationary uses","2005","2005","Euro Thousand","301"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","2322","All fuel oil for stationary uses","2006","2006","Euro Thousand","360"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","2322","All fuel oil for stationary uses","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23221","Fuel oil for stationary uses - gas, oil and diesel","2005","2005","Euro Thousand","142"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23221","Fuel oil for stationary uses - gas, oil and diesel","2006","2006","Euro Thousand","170"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23221","Fuel oil for stationary uses - gas, oil and diesel","2007","2007","Euro Thousand","212"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23222","Fuel oil for stationary uses - kerosene","2005","2005","Euro Thousand","109"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23222","Fuel oil for stationary uses - kerosene","2006","2006","Euro Thousand","131"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23222","Fuel oil for stationary uses - kerosene","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23224","Fuel oil for stationary uses - other fuel oil","2005","2005","Euro Thousand","50"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23224","Fuel oil for stationary uses - other fuel oil","2006","2006","Euro Thousand","60"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","23224","Fuel oil for stationary uses - other fuel oil","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","233","Electricity","2005","2005","Euro Thousand","1523"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","233","Electricity","2006","2006","Euro Thousand","1828"
"BAA07","Purchases in Building and Construction Industry (New Basis)","453","Building installation (453)","233","Electricity","2007","2007","Euro Thousand","2145"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23","All purchases of materials, fuel and energy","2005","2005","Euro Thousand","119588"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23","All purchases of materials, fuel and energy","2006","2006","Euro Thousand","143549"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23","All purchases of materials, fuel and energy","2007","2007","Euro Thousand","184857"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","231","Materials","2005","2005","Euro Thousand","116542"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","231","Materials","2006","2006","Euro Thousand","139892"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","231","Materials","2007","2007","Euro Thousand","179612"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","232","All fuel","2005","2005","Euro Thousand","2592"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","232","All fuel","2006","2006","Euro Thousand","3112"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","232","All fuel","2007","2007","Euro Thousand","4533"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","2321","All motor fuel","2005","2005","Euro Thousand","2430"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","2321","All motor fuel","2006","2006","Euro Thousand","2917"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","2321","All motor fuel","2007","2007","Euro Thousand","4332"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23211","Motor fuel - petrol","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23211","Motor fuel - petrol","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23211","Motor fuel - petrol","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23212","Motor fuel - auto diesel","2005","2005","Euro Thousand","2035"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23212","Motor fuel - auto diesel","2006","2006","Euro Thousand","2443"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23212","Motor fuel - auto diesel","2007","2007","Euro Thousand","3513"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23213","Motor fuel - LPG (for vehicles)","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23213","Motor fuel - LPG (for vehicles)","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23213","Motor fuel - LPG (for vehicles)","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","2322","All fuel oil for stationary uses","2005","2005","Euro Thousand","162"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","2322","All fuel oil for stationary uses","2006","2006","Euro Thousand","194"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","2322","All fuel oil for stationary uses","2007","2007","Euro Thousand","202"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23221","Fuel oil for stationary uses - gas, oil and diesel","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23221","Fuel oil for stationary uses - gas, oil and diesel","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23221","Fuel oil for stationary uses - gas, oil and diesel","2007","2007","Euro Thousand","139"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23222","Fuel oil for stationary uses - kerosene","2005","2005","Euro Thousand","47"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23222","Fuel oil for stationary uses - kerosene","2006","2006","Euro Thousand","57"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23222","Fuel oil for stationary uses - kerosene","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23224","Fuel oil for stationary uses - other fuel oil","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23224","Fuel oil for stationary uses - other fuel oil","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23224","Fuel oil for stationary uses - other fuel oil","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","233","Electricity","2005","2005","Euro Thousand","454"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","233","Electricity","2006","2006","Euro Thousand","545"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","233","Electricity","2007","2007","Euro Thousand","711"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23","All purchases of materials, fuel and energy","2005","2005","Euro Thousand","30692"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23","All purchases of materials, fuel and energy","2006","2006","Euro Thousand","36842"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23","All purchases of materials, fuel and energy","2007","2007","Euro Thousand","48697"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","231","Materials","2005","2005","Euro Thousand","21213"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","231","Materials","2006","2006","Euro Thousand","25463"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","231","Materials","2007","2007","Euro Thousand","32559"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","232","All fuel","2005","2005","Euro Thousand","9253"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","232","All fuel","2006","2006","Euro Thousand","11108"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","232","All fuel","2007","2007","Euro Thousand","15567"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","2321","All motor fuel","2005","2005","Euro Thousand","8126"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","2321","All motor fuel","2006","2006","Euro Thousand","9755"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","2321","All motor fuel","2007","2007","Euro Thousand","13916"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23211","Motor fuel - petrol","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23211","Motor fuel - petrol","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23211","Motor fuel - petrol","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23212","Motor fuel - auto diesel","2005","2005","Euro Thousand","6732"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23212","Motor fuel - auto diesel","2006","2006","Euro Thousand","8082"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23212","Motor fuel - auto diesel","2007","2007","Euro Thousand","10798"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23213","Motor fuel - LPG (for vehicles)","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23213","Motor fuel - LPG (for vehicles)","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23213","Motor fuel - LPG (for vehicles)","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","2322","All fuel oil for stationary uses","2005","2005","Euro Thousand","1127"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","2322","All fuel oil for stationary uses","2006","2006","Euro Thousand","1353"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","2322","All fuel oil for stationary uses","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23221","Fuel oil for stationary uses - gas, oil and diesel","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23221","Fuel oil for stationary uses - gas, oil and diesel","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23221","Fuel oil for stationary uses - gas, oil and diesel","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23222","Fuel oil for stationary uses - kerosene","2005","2005","Euro Thousand","0"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23222","Fuel oil for stationary uses - kerosene","2006","2006","Euro Thousand","0"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23222","Fuel oil for stationary uses - kerosene","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23224","Fuel oil for stationary uses - other fuel oil","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23224","Fuel oil for stationary uses - other fuel oil","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23224","Fuel oil for stationary uses - other fuel oil","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","233","Electricity","2005","2005","Euro Thousand","226"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","233","Electricity","2006","2006","Euro Thousand","271"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","233","Electricity","2007","2007","Euro Thousand","571"
